行业,区域,营业执照名,店铺名,工作地址,岗位名称,工作要求,工资,联系人,联系电话,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
餐饮业,玉山镇,昆山开发区青春饭餐厅,同桌的你时尚餐厅,衡山路弥敦城5楼,经理、主管、领班、收银员、服务员、传菜员，以上人数若干 ,包吃住，要求：年龄18--35以下。男女不限，无不良嗜好，管理层须有1--2年的管理经验。,管理层4000-7000元左右，其它工资 3500--4000元左右,徐经理,0512--50175077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
服装业,玉山镇,昆山开发区王钱福服装店,贵人鸟换季优惠店,嵩山路334号,导购员2名,无特殊要求，35岁以下即可。一天8小时，早晚班，早班：8:00一16:30，晚班：14:00一22:00,底薪1900+2%到3%提成，按业绩算,吴小姐,15162687597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
化妆品业,玉山镇,昆山开发区百合化妆品店,百合,昆山开发区柏庐南路999号乐购超市L1F012,专卖店导购员、商场导购员、储备店长，数名,爱笑、热情、开朗、做事认真仔细，责任心强，有较强的服务精神，男女不限。,综合工资：3000-6000元,涂小姐,18915486134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
餐饮业,玉山镇,五芳斋餐饮有限公司江苏昆山柏庐南路店,五芳斋,昆山开发区柏庐南路999号,收银员2名，主管两名，后厨.兼职若干,福利待遇：缴纳五险一金，健康体检，工龄津贴，岗位津贴，夏季高温补贴带薪年休假，节假日福利，生日福利，促销奖励，职位晋升快，免费工作餐，假日三倍工资。工作时间7:00-22:00任意安排。,综合工资：3500-5000元,邢小姐,17682379137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
服装业,玉山镇,昆山开发区邱漫服饰店,摩奥,昆山开发区柏庐南路999号乐购超市S17,导购员,"年龄18-36岁，男女不限，学历不限（初中优先），无经验者有限。8:00-16:00,14:00-22:00，做六休一。",综合工资：3000-5000元,李小姐,18671244276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咖啡店,玉山镇,羿鼎（昆山）餐饮管理有限公司,幸福侯彩擂,昆山开发区柏庐南路999号吉田国际广场商铺3号,吧台伙伴1名,包住，六天8小时制，早班：9:30-18:00晚班：11:30-20:00,底薪2050➕餐补➕业绩奖金➕绩效奖金（固定）➕年终奖,赵小姐,13962423341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
餐饮业,玉山镇,昆山开发区峨眉山路农家小院饭店,盐阜农家小院,峨眉山路42、46号,采购员1名、厨工1名,包吃住，要求：年龄18-35岁，男，无不良嗜好。工作时间9:00-13:00，16:00-21:00,薪资面议,孙先生,17625549777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
餐饮业,玉山镇,昆山开发区湘恋湘亲私房菜馆,湘遇映山红餐饮集团,峨眉山路66、68、70号,前台服务员1名、传菜员1名,包吃住，要求：年龄18-35岁，男女不限，无不良嗜好。,3500左右,黄新刚,15895663307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
房产/中介,玉山镇,昆山天瑞地产经纪有限公司,天瑞地产,昆山开发区衡山路905号,业务员若干名,包住，公司每年组织旅游，男女不限，无经验者优先，师徒制一对一教学，免费培训，工作时间9:00-18:30,底薪3000+提成（无上限）,唐小姐,18556755123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
房产/中介,玉山镇,昆山创鸿房产经纪有限公司,创鸿房产,昆山开发区衡山路903号03室,销售精英若干名,包住，年龄18-45周岁，有销售经验者优先，男女不限。工作时间朝九晚五，做六休一，有午休。公司定期组织旅游、培训、聚餐等活动。,底薪3500-4000+提成50%（上不封顶）+房补+奖金+年薪,刘经理,18550353167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
